VIN,Error Code,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Body Class,Doors,Gross Vehicle Weight Rating From,Trailer Type Connection,Trailer Body Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Bus Floor Configuration Type,Bus Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Fuel Type - Primary,Engine Configuration,Other Engine Info,Turbo,Seat Belt Type,Front Air Bag Locations,Side Air Bag Locations,Tire Pressure Monitoring System (TPMS) Type,Wheel Base (inches) From,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Axles,Battery Voltage (Volts) From,Engine Model,Fuel Type - Secondary,Engine Brake (hp) From,Electrification Level,Engine Manufacturer,Knee Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Keyless Ignition,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Forward Collision Warning (FCW),Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Blind Spot Warning (BSW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Rear Cross Traffic Alert,Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Base Price ($),Fuel Delivery / Fuel Injection Type,Top Speed (MPH),Transmission Speeds,Valve Train Design,Curtain Air Bag Locations,Other Restraint System Info,Active Safety System Note,Series2,Rear Automatic Emergency Braking,Brake System Description,Blind Spot Intervention (BSI),Lane Centering Assistance,Note,Pretensioner,Trim2,Seat Cushion Air Bag Locations,Adaptive Driving Beam (ADB),Engine Stroke Cycles,Event Data Recorder (EDR),Cooling Type,Parking Assist,Windows,Additional Error Text,Engine Brake (hp) To,Wheel Base Type,Entertainment System,SAE Automation Level From,Battery Type,Wheel Base (inches) To,Battery Energy (kWh) From,Number of Battery Packs per Vehicle,EV Drive Unit,Track Width (inches),Curb Weight (pounds),Suggested VIN,Other Battery Info,Charger Power (kW)
1FA6P8CF7L5159227,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1FA6P8CF*L5,,FORD,FORD MOTOR COMPANY,Mustang,2020,FLATROCK,,GT Coupe,PASSENGER CAR,UNITED STATES (USA),FRAP,MICHIGAN,Coupe,2,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,8,5000,305.1187204736,5,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,TiVCT,,435,,Ford,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GNSKCKC3HR143423,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1GNSKCKC*HR,,CHEVROLET,GENERAL MOTORS LLC,Tahoe,2017,ARLINGTON,,Premier,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),GMNA,TEXAS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,8,5300.0,323.42584370208,5.3,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,116.00,,,,4,20,20,Left-Hand Drive (LHD),7,3,Automatic,2,,"L83 - SIDI: Spark Ignited Direct Injection, VVT: Variable Valve Timing, AFM, E85 MAX, ALUM",Ethanol (E85),,,GM,,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,,Standard,62030.00,,136,6,,All Rows,Front Inboard Seat Side AIr bag in First Row,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,
5NMZUDLB5JH097942,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5NMZUDLB*JH,,HYUNDAI,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (HMMA),Santa Fe Sport,2018,,,"Sport Value Pkg ,Sport Premium pkg, Sport Tech pkg ,Sport 2.0T Base",MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,ALABAMA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2400.0,146.45698582735,2.4,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,,,,GDI THETA II,,185,,HMC,Driver Seat Only,,,,,,,,,,,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),1st and 2nd Rows,,,Wagon body Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YJ3E1EB1KF418117,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5YJ3E1EB*KF,,TESLA,"TESLA, INC.",Model 3,2019,FREMONT,,,PASSENGER CAR,UNITED STATES (USA),,CALIFORNIA,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,Electric,,Dual Motor - Standard,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,113.20,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,Automatic,2,,,,,BEV (Battery Electric Vehicle),,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,Standard,,,,1,,,"Type 2 manual seatbelts (FR, SR*3), PODS",,,,,,,,,,,Standard,,,,Optional,,,,,CD + Stereo,,,,,,,,,,,
5N1DR2MM3KC624386,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5N1DR2MM*KC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Pathfinder,2019,SMYRNA,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,3500.0,213.58310433156,3.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd and 3rd Rows,"Driver and passenger frontal air bags, 3-point manual belts, side air bags, and curtain side air bags  2nd row outboard 3-point manual belts and curtain side air bags, 2nd row center 3-point manual belts  3rd row outboard 3-point manual belts and curtain side air bags",,Wagon body style,,,,,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
3C6URVJG9LE108782,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3C6URVJG*LE,,RAM,CHRYSLER DE MEXICO TOLUCA,ProMaster 3500,2020,SALTILLO,,VF,TRUCK,MEXICO,SALTILLO VAN/TRUCK ASSEMBLY PLANT,COAHUILA,Cargo Van,,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,Hydraulic,6,3600.0,219.68547874103,3.6,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),All Rows,,159,,,,,,,Left-Hand Drive (LHD),,,,,,,,280,,FCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wheelbase: Extended Body - 159X""",,,,,,,,,,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,,,,,,,,,,,,
1G1JF5SB0J4135237,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1G1JF5SB*J4,,CHEVROLET,GENERAL MOTORS LLC,Sonic,2018,ORION,,Premier,PASSENGER CAR,UNITED STATES (USA),GMNA,MICHIGAN,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,,4,1400.0,85.43324173262,1.4,Gasoline,,,Yes,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,99.40,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,17,17,Left-Hand Drive (LHD),5,2,Automatic,2,,"LUV - MFI, Variable Valve Timing, ALUM, E85 MAX",,,,GME,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,,,Optional,Standard,,,Optional,,Standard,,Standard,Standard,,Standard,19820.00,Multipoint Fuel Injection (MPFI),108,,Dual Overhead Cam (DOHC),All Rows,AYF - Active Manual Belts,Rear Park Assist (with only Rear Sonar Sensors): Optional; Hill Start Assist,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
JM3KFBCL1R0459258,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JM3KFBCL*R0,,MAZDA,MAZDA MOTOR CORPORATION,CX-5,2024,HIROSHIMA,,Preferred Package,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,MAZDA,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2500.0,152.55936023683,2.5,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,5,2,Automatic,,,PY,,187,,Mazda,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,LED,Standard,,,,6,,1st and 2nd Rows,1st Row: Seat Belt w/s Pretensioners / 2nd Row: Seat Belt w/ Pretensioners & Curtain Airbag (Outer Positions),,Wagon Body Style,,,,,,Yes,,,,,,Water,,,,,,,,,,,,,,,,,
JM1BJ2214Y0270190,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JM1BJ221*Y0,,MAZDA,MAZDA MOTOR CORPORATION,Protege,2000,HIROSHIMA,Sedan,,PASSENGER CAR,,Mazda Motor Corporation,,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,1st Row (Driver and Passenger),,,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,FPD,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,
KM8J3CA40MU396861,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KM8J3CA4*MU,,HYUNDAI,HYUNDAI MOTOR CO,Tucson,2021,ULSAN,,"Value, SEL, Sport, Limited, Ultimate",MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2000,122.0474881894,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,105.10,,,,4,,,Left-Hand Drive (LHD),5,2,Automatic,2,,GDI Nu,,161.00,,HMC,,Standard,Standard,,Standard,,,,,Standard,,,,Standard,Standard,Standard,,,,,,,,,6,Dual Overhead Cam (DOHC),1st and 2nd Rows,Seat Belt: All Positions,,Wagon Body type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2T1BURHE1JC967886,0,0 - VIN decoded clean. Check Digit (9th position) is correct,2T1BURHE*JC,,TOYOTA,TOYOTA MOTOR MANUFACTURING CANADA,Corolla,2018,CAMBRIDGE,ZRE172L,L/LE/SE/XLE/XSE,PASSENGER CAR,CANADA,"Toyota Motor Manufacturing, Canada, Inc.",ONTARIO,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1798,109.84273937051,1.8,Gasoline,In-Line,Sequential MPI  ,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,106.3,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,,2,,2ZR-FE,,132,,Toyota,Driver Seat Only,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,,,Standard,,Standard,18600.00,Multipoint Fuel Injection (MPFI),111,6,Dual Overhead Cam (DOHC),All Rows,,"Keyless Ignition: Standard for XLE, SE6MT and XSE trims, Optional for SE trim",,,Calipers / Front Vented Discs,,,Manual Transmission / CVT,Yes,,Passenger Seat Only,Standard,4,,,,,,148,Standard,,,,,,1,,,,,,
2FMTK4J82FBB70057,0,0 - VIN decoded clean. Check Digit (9th position) is correct,2FMTK4J8*FB,,FORD,"FORD MOTOR COMPANY OF CANADA, LTD.",Edge,2015,OAKVILLE,,SEL,MULTIPURPOSE PASSENGER VEHICLE (MPV),CANADA,Oakville Assembly,ONTARIO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,Hydraulic,6,3500.0,213.58310433156,3.5,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,,,,,,,,,,,,,,,,,Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1N4AL3AP8FC286704,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1N4AL3AP*FC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2015,SMYMA,,,PASSENGER CAR,UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,,4,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP0AA2A7XFL003312,0,0 - VIN decoded clean. Check Digit (9th position) is correct,WP0AA2A7*FL,,PORSCHE,DR. ING. H.C.F. PORSCHE AG,Panamera,2015,LEIPZIG,,"Base (2WD), 4 (4WD)",PASSENGER CAR,GERMANY,Leipzig,,Sedan/Saloon,4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,6,3600.0,219.68547874103,3.6,Gasoline,,,,,,,Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restraint System: Passive  ,,Type 970,,,,,"GVWR: (2WD) 5,247 lbs. (4WD) 5,335 lbs.",,,,,,,,,,,,,,,,,,,,,,,,
3VWH17AU8KM501077,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3VWH17AU*KM,,VOLKSWAGEN,VOLKSWAGEN DE MEXICO SA DE CV,Golf Alltrack,2019,PUEBLA,,"4Motion S, SE, SEL",PASSENGER CAR,MEXICO,,,Wagon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,1800.0,109.84273937051,1.8,Gasoline,,Emissions Certification Test Group: KVGAV01.8APA; Federal/California Emission Standard: Tier 3 BIN 30 LEV3 SULEV30,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,103.50,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,Automatic,2,,,,168,,VW,,Standard,Standard,Standard,Standard,,,,Standard,Standard,Standard,Standard,Standard,,,Standard,,,Standard,,Standard,26896.00,,,6,,All Rows,Advanced Front Airbags,Parking Assist: Optional for SE and Standard for SEL; Lane Keep System: Optional for Se and Standard for SEL; Adaptive Driving Beam: Optional for SE and Standard for SEL; Adaptive Cruise Control: Standard for SEL; Keyless Ignition: Standard for SE and SEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C4NJDBB6ED536895,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1C4NJDBB*ED,U.S.,JEEP,FCA US LLC,Compass,2014,BELVIDERE,,Sport,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Belvidere Assembly,ILLINOIS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2400.0,146.45698582735,2.4,Gasoline,,"Sales Code: ED3,ED6,ED7,EDG",No,Manual,1st Row (Driver and Passenger),All Rows,Direct,,,,,,,,Left-Hand Drive (LHD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Seat Belt,,Body Style: Hatchback Tall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C6SRFMP1SN515496,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1C6SRFMP*SN,,RAM,FCA US LLC,1500,2025,STERLING HEIGHTS,,Big Horn/Lonestar,TRUCK,UNITED STATES (USA),Sterling Heights Assembly Plant,MICHIGAN,Pickup,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,6,3000,183.0712322841,3,Gasoline,In-Line,,Yes,Manual,1st Row (Driver and Passenger),All Rows,Direct,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",Long,Crew/Super Crew/Crew Max,,,,Left-Hand Drive (LHD),6,2,Automatic,,,,,420,,FCA,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,,Standard,LED,Standard,,,,8,,,Active Belts,,Crew Cab,,,,,Single Rear Wheels,,,,,,Standard,,Standard,,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,,,,,,,,,,,,
3VW517ATXFM811215,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3VW517AT*FM,,VOLKSWAGEN,VOLKSWAGEN DE MEXICO SA DE CV,Beetle,2015,PUEBLA,,"1.8T, TDI",PASSENGER CAR,MEXICO,,,Convertible/Cabriolet,2,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,1798,109.720691882,1.798000,Gasoline,,Fuel: Gas (50-St); Federal / California Emission Standard: BIN 3 / PZEV; Emissions Certification Test Group: FVGAV02.0VPD,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,Automatic,,,,,170,,Volkswagen,,,,,,,,,,,,,,,,,,,,,,,,,6,,,Restraint System: Active - Driver/Passenger; Advanced Front Air Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N1AT2MV9KC763970,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5N1AT2MV*KC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Rogue,2019,SMYRNA,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,"Driver and Passenger Frontal Air Bags, 3-Point Manual Belts, Side Air Bags, and Curtain Side Air Bags.  2nd row outboard 3-Point Manual Belts and Curtain Side Air Bags, 2nd row center 3-Point Manual Belts",,Wagon body style,,,,,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
5XYKT4A17BG032729,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5XYKT4A1*BG,,KIA,"KIA GEORGIA, INC",Sorento,2011,,,GL,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),"Kia Motor Manufacturing, Georgia",GEORGIA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,,2400.0,146.45698582735,2.4,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,,,,DOHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),1st and 2nd Rows,,,Wagon Body Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1FM5K8D86JGB62301,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1FM5K8D8*JG,,FORD,FORD MOTOR COMPANY,Explorer,2018,CHICAGO,,XLT,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Chicago Assembly,ILLINOIS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,6,3500.0,213.58310433156,3.5,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),1st and 2nd and 3rd Rows,Direct,112.80,,,,4,18,18,Left-Hand Drive (LHD),7,3,Automatic,2,,3.5L Ti-VCT,,290,,Ford,Passenger Seat Only,Standard,Standard,Standard,Standard,,Standard,Optional,Optional,Optional,Standard,,Optional,Optional,Optional,Standard,,Standard,Standard,,Standard,34175.00,,122,6,,,,"Cross-traffic Alert: Optional; Forward Sensing System: Optional; Reverse Sensing System: Standard: Brake Support: Optional; My Key Tech, Hill Start Assist",,,,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,
1J4RR6GT7BC607346,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1J4RR6GT*BC,"U.S., Canada, Mexico, Other Export Market (BUX)",JEEP,FCA US LLC,Grand Cherokee,2011,DETROIT,WK,Overland,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Jefferson North Assembly,MICHIGAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,5700.0,347.83534133997,5.7,Gasoline,,"Sales Code for Engine - EZC,EZE,EZH",No,Manual,1st Row (Driver and Passenger),All Rows,Direct,,,,,,,,Left-Hand Drive (LHD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,S (Sport),,,,,,,,,,,,,,,,,,,,,,
1FTSE35S24HA23648,1,1 - Check Digit (9th position) does not calculate properly,1FTSE35S*4H,,FORD,FORD MOTOR COMPANY,E-350,2004,LORAIN,Econoline,,TRUCK,UNITED STATES (USA),Lorain Assembly Plant,OHIO,Incomplete - Cutaway,,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,10,6800.0,414.96145984417,6.8,Gasoline,V-Shaped,EFI,,,,,,,,,,,,,,,,,,,,,305,,Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chassis Type: SRW/DRW,,,,,,,,,,Incomplete Vehicle Warning - Please be advised that the vehicle may have been altered and may not be an accurate representation of the vehicle in its current condition.,,,,,,,,,,,,,,
5TDKDRBH5PS046676,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5TDKDRBH*PS,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Highlander,2023,PRINCETON,75 Series,"LE, L, Limited, Platinum, XLE / XSE (w/ 12.3"" multimedia, w/ 8"" multimedia)",MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),"Toyota Motor Manufacturing, Indiana, Inc.",INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2400.0,146.45698582735,2.4,Gasoline,In-Line,"PORT+DIRECT, L4",,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,3,,,,T24A-FTS,,265,,,Driver Seat Only,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,,,Standard,LED,Standard,,,,,,1st and 2nd and 3rd Rows,SEAT BELT: All Seats,,Wagon Body Style,,,,,,,,Passenger Seat Only,,,Standard,,,,,,,,,,,,,,,,,,
